X,Y,OBJECTID,ID,STATUS,REASON,ROAD,DESCRIPTION,SUBURB,UPDATETIME,TMR,LOCATION,SOURCE,GlobalID
17033108.69,-3157102.699,29,HAY_004,Open,Flooded,Dohles Rocks Road,near Castle Hill Drive,MURRUMBA DOWNS,2022/03/03 06:05:00+00,0,"Dohles Rocks Road near Castle Hill Drive, MURRUMBA DOWNS",DWCP,89f2efc9-c6e5-498f-a7c5-93cd1ae9c91e
17031057.33,-3161284.502,30,LPR_008,Open,Flooded,Harvey Street,at Coorabin Street,STRATHPINE,2022/03/03 07:00:00+00,0,Harvey Street,DWCP,1d38cdda-ebd6-4405-b84e-b55d5f29b280
17011931.92,-3165483.229,31,LPR_010,Open,Flooded,Morrison Road, ,CEDAR CREEK,2022/02/27 16:00:00+00,0,"Morrison Road, CEDAR CREEK",DWCP,88d8cde4-d989-4d0c-99c9-d519aa2cf127
17027484.72,-3144259.072,32,BUR_024,Open,Flooded,Fernando Street,at Mirra Street,BURPENGARY,2020/02/26 05:00:00+00,0,"Fernando Street at Mirra Street, BURPENGARY",DWCP,4e26c775-1450-405d-b273-c68a9577eb14
17017056.04,-3164650.031,33,LPR_013,Open,Flooded,Mount Samson Road,at Cedar Creek Road,CLOSEBURN,2020/02/26 05:00:00+00,0,"Mount Samson Road at Cedar Creek Road, CLOSEBURN",DWCP,0bd93bb2-7c8d-4743-9538-f7f7554a4fac
17025494.89,-3142731.427,34,BUR_026,Open,Flooded,Hauton Road,at Garden Drive,BURPENGARY,2022/02/26 10:15:00+00,0,"Hauton Road at Garden Drive, BURPENGARY",DWCP,930c4ce7-6f78-4598-aa02-24df5334b346
17025593.71,-3163160.672,35,LPR_021,Open,Flooded,Tattler  Street,at Starling Street,WARNER,2020/02/26 07:30:00+00,0,"Tattler  Street at Starling Street, WARNER",DWCP,94213d37-3146-4b0a-ac26-1d66858eb7f4
17025282.3,-3158475.055,36,LPR_026,Open,Flooded,Gordons Crossing Road, ,JOYNER,2022/05/11 10:00:00+00,0,"Gordons Crossing Road, JOYNER",DWCP,5ebe9496-0532-44cb-ac3d-9d58d65c21a9
17028891.09,-3156437.495,37,LPR_031,Open,Flooded,Woonara Drive, ,PETRIE,2022/03/03 07:25:00+00,0,"Woonara Drive, PETRIE",DWCP,eb84d5ac-0405-460a-89e1-8acb07273464
17016368.68,-3171804.835,38,LPR_036,Open,Flooded,Days Road,near Wights Mountain Road,SAMFORD VALLEY,2022/05/11 10:10:00+00,0,"Days Road near Wights Mountain Road, SAMFORD VALLEY",DWCP,a13abd08-e11e-418b-8439-4f8b7f71242d
17026383.29,-3158907.54,39,LPR_046,Open,Flooded,Youngs Crossing Road,at Gordons Crossing Road East,JOYNER,2022/03/03 07:30:00+00,0,"Youngs Crossing Road at Gordons Crossing Road East, JOYNER",DWCP,9457b868-b2e6-4175-a13c-92dc8207a61a
17011841.7,-3144546.806,40,UPR_003,Open,Flooded,Glengariff Way, ,KING SCRUB,2022/10/23 09:00:00+00,0,"Glengariff Way, KING SCRUB",DWCP,c612f014-d9cb-4dff-97bb-dbb1e35406ec
17013369.35,-3146693.843,41,UPR_006,Open,Flooded,Fingerboard Road,near Royston street,KING SCRUB,2022/02/27 13:00:00+00,0,Fingerboard Road,DWCP,3bb7f118-d826-4096-a703-049273cc0107
17013931.89,-3162243.067,42,UPR_008,Open,Flooded,Foggs Road,near Greenmount Court,MOUNT SAMSON,2022/02/27 01:00:00+00,0,"Foggs Road near Greenmount Court, MOUNT SAMSON",DWCP,eed6b3b0-e9ea-4c69-83dd-5e1ac8da782a
17012266.2,-3147919.197,43,UPR_009,Open,Flooded,Heathwood Street, ,DAYBORO,2020/02/26 05:00:00+00,0,"Heathwood Street, DAYBORO",DWCP,59b7ce62-77cd-42cd-8f26-0be0c0693d5e
17004564.94,-3141561.63,44,UPR_014,Open,Flooded,Mount Brisbane Road,near Cripps Road,MOUNT PLEASANT,2020/02/26 05:00:00+00,0,"Mount Brisbane Road near Cripps Road, MOUNT PLEASANT",DWCP,47c13065-2947-43e3-9b10-6511c05bd3a0
17028482.7,-3152363.158,45,SID_002,Open,Flooded,Lakeside Road,at Nundah Road,KURWONGBAH,2020/02/26 05:00:00+00,0,"Lakeside Road at Nundah Road, KURWONGBAH",DWCP,37b46f8f-1b3b-4957-8c13-cbe9883905b8
17004967.5,-3144621.199,46,UPR_016,Open,Flooded,Stratton Road,near Palm Creek Road,MOUNT PLEASANT,2022/05/18 00:00:00+00,0,"Stratton Road near Palm Creek Road, MOUNT PLEASANT",DWCP,aeb3d1a6-79e1-47b2-816c-b99bb4524091
17020854.29,-3149035.681,47,SID_004,Open,Flooded,Neilson Road,near Theodore Road - Both creek crossings,KURWONGBAH,2022/03/03 10:00:00+00,0,"Neilson Road near Thedore Road, KURWONGBAH",DWCP,47402c45-19b5-4899-8f88-817d2ff499c8
17021066.7,-3146731.376,48,SID_005,Open,Flooded,Roberts Road,near Raynbird Road,NARANGBA,2020/02/26 05:00:00+00,0,"Roberts Road near Raynbird Road, NARANGBA",DWCP,ef415008-c607-4c65-aa40-50e530422a2a
17025253.74,-3154818.789,49,SID_006,Open,Flooded,Scout Road,near Dayboro Road,KURWONGBAH,2021/04/06 22:00:00+00,0,"Scout Road near Dayboro Road, KURWONGBAH",DWCP,fcb466c7-eeef-464c-8ecc-9212817cb691
17027853.26,-3154867.068,50,SID_008,Open,Flooded,Torrens Road, ,KURWONGBAH,2022/02/27 11:30:00+00,0,Torrens Road,DWCP,1c7b5160-db8d-49f3-af2d-37574e7d9bb7
17012240.53,-3148052.366,51,UPR_018,Open,Flooded,Williams Street,near McKenzie Street,DAYBORO,2022/02/26 07:00:00+00,0,Williams Street,DWCP,45ae5952-de55-483a-b048-db91d178c6f4
17027177.15,-3148552.949,52,SID_011,Open,Flooded,Main Street, ,NARANGBA,2020/02/26 05:00:00+00,0,"Main Street, NARANGBA",DWCP,ae7d7e0d-da36-45e8-9a61-ea7654a4e4c0
17007814.47,-3143171.78,53,UPR_022,Open,Flooded,Mount Pleasant Road,near Henzell Road,MOUNT PLEASANT,2022/03/01 03:15:00+00,0,"Mount Pleasant Road near Henzell Road, MOUNT PLEASANT",DWCP,d0b49008-10dd-429a-b043-73d6f17d8ebc
17012365.33,-3143830.115,54,UPR_024,Open,Flooded,Ocean View Road, ,KING SCRUB,2020/02/26 05:00:00+00,0,"Ocean View Road, KING SCRUB",DWCP,09cca70a-42e1-4937-ae92-6a5dba01a8ed
17006528.48,-3143547.633,55,UPR_025,Open,Flooded,Stratton Road,at Mount Brisbane Road,MOUNT PLEASANT,2022/05/16 07:30:00+00,0,"Stratton Road at Mount Brisbane Road, MOUNT PLEASANT",DWCP,b5b92fb1-3878-46f6-848b-4919aa87c216
17006829.07,-3143543.378,56,UPR_026,Open,Flooded,Mount Brisbane Road,at Stratton Road,MOUNT PLEASANT,2022/05/15 00:30:00+00,0,Mount Brisbane Road,DWCP,23ae5aaf-83bb-45cf-a6d3-fec1085427ca
17005565.51,-3141477.808,57,UPR_027,Open,Flooded,Courts Lane, ,MOUNT PLEASANT,2022/05/17 01:30:00+00,0,"Courts Lane, MOUNT PLEASANT",DWCP,3a89bccb-bbee-4aac-a2ea-21bb1382eb86
17003968.27,-3148232.271,58,UPR_031,Open,Flooded,Laceys Creek Road,near Costelloe Road,LACEYS CREEK,2022/10/23 15:50:00+00,0,"Laceys Creek Road near Costelloe Road, LACEYS CREEK",DWCP,53da2e9b-7209-4e0b-b6a6-ae549d69ff94
17010743.61,-3105409.377,59,STA_008,Open,Flooded,Doyle Road,near Cedarton Drive,CEDARTON,2022/10/23 12:15:00+00,0,"Doyle Road near Cedarton Drive, CEDARTON",DWCP,d96355cf-99d6-43c6-86ef-a1bfe2543282
17003106.57,-3150593.621,60,UPR_011,Open,Flooded,Laceys Creek Road,at Inglis Court,LACEYS CREEK,2022/05/12 16:00:00+00,0,"Laceys Creek Road at Inglis Court, LACEYS CREEK",DWCP,4fb977f7-a670-49ab-a198-a529fc5d9316
17003273.02,-3149427.315,61,UPR_033,Open,Flooded,Wirth Road,at Esplanade,LACEYS CREEK,2022/10/23 16:10:00+00,0,"Wirth Road at Esplanade, LACEYS CREEK",DWCP,4a876f40-7ae6-44b9-9400-5bc9ce0a3502
17027757.56,-3130101.845,62,CAB_071,Open,Flooded,Pumicestone Road,at King Johns Creek,CABOOLTURE,2022/02/26 22:45:00+00,0,"Pumicestone Road at King Johns Creek, CABOOLTURE",DWCP,d9c9085f-b4a2-4fd6-aa06-df1e3597ebad
17024364.02,-3133794.205,63,CAB_076,Open,Flooded,Bellmere Road,at Wararba Creek,BELLMERE,2022/02/26 07:45:00+00,0,"Bellmere Road at Wararba Creek, BELLMERE",DWCP,85936d15-5759-465b-9fbe-24a23727243d
17030594.6,-3159576.588,64,LPR_049,Open,Flooded,Paisley Drive,at Lucy Street,LAWNTON,2022/03/03 07:00:00+00,0,"Paisley Drive at Lucy Street, LAWNTON",DWCP,39c01c08-e4bb-48cc-8267-948d46a7f242
17011814.63,-3147630.551,65,UPR_040,Open,Flooded,McKenzie Street,at Tullamore Park,DAYBORO,2020/02/26 05:00:00+00,0,"McKenzie Street at Tullamore Park, DAYBORO",DWCP,7d449376-1047-4236-9390-a2a5112a6dea
17043092.12,-3151131.471,66,RED_002,Open,Flooded,Klingner Road,at Hodges Street,REDCLIFFE,2020/02/26 05:00:00+00,0,"Klingner Road at Hodges Street, REDCLIFFE",DWCP,22daf75b-1090-49cf-a5f9-521901e6f9a8
17003678,-3147693.345,67,UPR_042,Open,Flooded,Costelloe Road,at Upper Crossing,LACEYS CREEK,2022/10/23 16:30:00+00,0,"Costelloe Road at Upper Crossing, LACEYS CREEK",DWCP,3a1a361b-ef4a-4fc2-ae50-80448c3a9713
17044364.32,-3151955.701,68,RED_004,Open,Flooded,Mcnaughton Street,at Humpybong Esplanade,REDCLIFFE,2020/02/26 05:00:00+00,0,"Mcnaughton Street at Humpybong Esplanade, REDCLIFFE",DWCP,6366a571-9eeb-4a67-a715-9b9c8a0fc7ae
17030799.15,-3151243.595,69,HAY_019,Open,Flooded,Old Gympie Road,at Hughes Road East,DAKABIN,2020/02/26 05:00:00+00,0,"Old Gympie Road at Hughes Road East, DAKABIN",DWCP,e51a8014-cc95-4dc1-9a0d-d3860e9eae03
17036723.04,-3153813.087,70,HAY_015,Open,Flooded,Richard Road, ,MANGO HILL,2020/02/26 05:00:00+00,0,"Richard Road, MANGO HILL",DWCP,a9f1e210-bd2e-4fd7-8eb5-68bf9a0b4191
17042291.21,-3151026.353,71,RED_001,Open,Flooded,Klingner Road,at Walkers Creek,KIPPA-RING,2020/02/26 05:00:00+00,0,Klingner Road,DWCP,b26e9909-ce99-4a0d-831f-a15aa46b066b
17042004.36,-3154302.915,72,RED_003,Open,Flooded,Maine Road,at Lucinda Street,CLONTARF,2020/02/26 05:00:00+00,0,"Maine Road at Lucinda Street, CLONTARF",DWCP,431a0068-dc38-4c9f-97e4-22649d0495f1
17040777.76,-3154576.973,73,HAY_018,Open,Flooded,Silcock Street, ,CLONTARF,2022/03/03 01:30:00+00,0,"Silcock Street, CLONTARF",DWCP,da26af64-96cb-4d58-9696-b6656e6331f3
17033997.12,-3157788.108,74,LPR_066,Open,Flooded,Wagner Road,,GRIFFIN,2022/03/03 06:10:00+00,0,Wagner Road,DWCP,fc0eef32-af40-4567-97cc-5eca85e87afc
17028692.21,-3138721.424,75,CAB_007,Open,Flooded,Grogan Road, ,MORAYFIELD,2022/02/27 15:00:00+00,0,Grogan Road,DWCP,38c0b3a6-9128-4df1-b378-f18d9a268d89
17011401.38,-3128979.174,76,CAB_026,Open,Flooded,Whiting Road, ,WAMURAN BASIN,2020/02/26 05:00:00+00,0,"Whiting Road, WAMURAN BASIN",DWCP,4cc4c824-eb26-420d-a6f0-1c0e8ad6a53d
17035542.45,-3147617.444,77,BUR_018,Open,Flooded,Maine Terrace,at Little Street,DECEPTION BAY,2020/02/26 05:00:00+00,0,"Maine Terrace at Little Street, DECEPTION BAY",DWCP,7a879d9b-793b-4257-953c-52b6d0c270e4
17015367.09,-3160241.781,78,UPR_038,Open,Flooded,Winn Road,at Andrew Road,MOUNT SAMSON,2022/02/27 00:40:00+00,0,Winn Road,DWCP,52629ce6-e603-49c5-87dd-310e22a14a7c
17031001.16,-3134626.405,79,CAB_009,Open,Flooded,Hickey Road, ,CABOOLTURE,2020/02/26 05:00:00+00,0,"Hickey Road, CABOOLTURE",DWCP,4be5efaf-ac76-4d04-a382-307929692f3d
17028836,-3130746.983,80,CAB_012,Open,Flooded,Male Road, ,CABOOLTURE,2022/02/26 22:30:00+00,0,"Male Road, CABOOLTURE",DWCP,54e01a8e-e79f-4606-a37d-3b22aa5e834f
17015132.12,-3127876.82,81,CAB_057,Open,Flooded,R Williams Road,near D'Aguilar Highway,WAMURAN,2022/05/12 15:45:00+00,0,"R Williams Road near D'Aguilar Highway, WAMURAN",DWCP,56a07458-7b5e-488a-a661-0c4172cca598
17019415.48,-3121771.639,82,PUM_013,Open,Flooded,Scurr Road,near Atkinson Road,WAMURAN,2022/05/12 12:00:00+00,0,"Scurr Road near Atkinson Road, WAMURAN",DWCP,d7daa95a-d9a6-48c3-819d-598c9449e03e
17019845.9,-3122291.243,83,PUM_015,Open,Flooded,Powell Road,at Scurr Road,WAMURAN,2022/05/14 05:00:00+00,0,Powell Road,DWCP,fbb5a226-0b16-4731-828f-8a128723f213
17021680.03,-3151523.629,84,SID_018,Open,Flooded,Theodore Road,,KURWONGBAH,2020/02/26 05:00:00+00,0,Theodore Road,DWCP,99f0fc01-10c8-4b12-9ae6-51013fe88353
17029219.14,-3142680.668,85,BUR_047,Open,Flooded,Station Road,intersection with Morayfield Road,BURPENGARY,2020/02/26 05:00:00+00,0,Station Road,DWCP,9fa90648-ec9f-4a5f-a3a9-f17839cabdfb
17027442.95,-3132814.956,86,CAB_021,Open,Flooded,Tallon Street, ,CABOOLTURE,2020/02/26 05:00:00+00,0,"Tallon Street, CABOOLTURE",DWCP,d70f2cc0-f41f-45b4-b8e6-ab1da032c564
17016610.06,-3144918.01,87,BUR_050,Open,Flooded,Moorina Road ,at Burpengary Creek,NARANGBA,2022/10/23 16:00:00+00,0,"Moorina Road at Burpengary Creek, NARANGBA",DWCP,ea272e71-ebb0-4cd1-b524-1978c286f155
17026509.83,-3136596.658,88,CAB_081,Open,Flooded,Underpass Road,near William Berry Drive,MORAYFIELD,2022/10/23 13:00:00+00,0,Underpass Road,DWCP,7d56ccd7-14fc-4c15-ab8a-d1c55c6d81c6
17020129.56,-3125205.665,89,PUM_004,Open,Flooded,King Road,near Powell Road,WAMURAN,2022/05/13 16:00:00+00,0,King Road,DWCP,3b4ab2ba-a2f1-4803-82b6-bbcc23fe9e24
17019401.62,-3124608.776,90,PUM_007,Open,Flooded,Powell Road,near King Road,WAMURAN,2022/05/13 16:00:00+00,0,Powell Road,DWCP,9b83126c-b58a-4810-ae2b-57e6f11db757
17021990.77,-3127363.59,91,CAB_063,Open,Flooded,Markwell Road,near Alcock Road,CABOOLTURE,2020/02/26 05:00:00+00,0,"Markwell Road near Alcock Road, CABOOLTURE",DWCP,8de3cb5a-e215-4bff-8e63-337d3c9df419
17030912,-3151980.653,92,HAY_027,Open,Flooded,Alma Road,at intersection with Old Gympie Road,DAKABIN,2020/02/26 05:00:00+00,0,"Alma Road at intersection with Old Gympie Road, DAKABIN",DWCP,8441a940-8162-4fc8-8fab-c49d9c7ea90b
17027569.21,-3134243.663,93,CAB_028,Open,Flooded,William Street, ,CABOOLTURE,2022/02/27 18:15:00+00,0,"William Street, CABOOLTURE",DWCP,ed036511-a613-4f16-a2a9-b796e5bfa812
17027608.42,-3133397.253,94,CAB_040,Open,Flooded,McKean Street,at Manley Street,CABOOLTURE,2020/02/26 05:00:00+00,0,"McKean Street at Manley Street, CABOOLTURE",DWCP,8edf03fb-7ef5-4435-844e-f6a1600e5897
17029826.47,-3133418.24,95,CAB_051,Open,Flooded,Aerodome Road, ,CABOOLTURE,2020/02/26 05:00:00+00,0,"Aerodome Road, CABOOLTURE",DWCP,39134a77-b99b-42eb-9746-40e0108b42ab
17010524.22,-3149259.892,96,UPR_036,Open,Flooded,Glover Road,at Juffs Road West,DAYBORO,2022/10/25 03:50:00+00,0,Glover Road,DWCP,aa9435cf-3006-49d0-ab23-09d18f916469
17025605.65,-3134341.618,97,CAB_093,Open,Flooded,Stringfellow Road,at Bowls Club entrance to Centenary Lakes,CABOOLTURE,2022/05/15 00:45:00+00,0,Stringfellow Road,DWCP,23c85ad9-2e31-4f77-97cf-c2759d0471ef
17049651.23,-3132956.29,98,BRI_012,Open,Flooded,Kangaroo Avenue,,BONGAREE,2022/02/27 15:00:00+00,0,Kangaroo Avenue,DWCP,0f7784a2-29c3-4d06-ad9e-556367e0eb20
17023891.04,-3155518.738,99,LPR_075,Open,Flooded,Whiteside Road,from 55 to 73,WHITESIDE,2022/05/14 22:30:00+00,0,Whiteside Road,DWCP,bb8cf867-b182-4e1e-89c9-9994ef8e899e
17027910.8,-3126743.084,100,PUM_005,Open,Flooded,Mansfield Road,near Bigmor Drive,ELIMBAH,2022/02/26 23:45:00+00,0,Mansfield Road,DWCP,2a15bebc-5dbb-4c21-a7df-60c1ae431460
17011801.34,-3159974.239,101,UPR_045,Open,Flooded,Basin Road,close to 365 Basin Road Entrance,SAMSONVALE,2022/02/27 18:00:00+00,0,"Basin Road close to 365 Basin Road Entrance, SAMSONVALE",DWCP,34039121-a2eb-4c81-837a-489b1e4f33dc
17037566.52,-3128131.143,102,PUM_012,Open,Flooded,Volz Road, ,TOORBUL,2020/02/26 05:00:00+00,0,"Volz Road, TOORBUL",DWCP,db7781de-5568-4020-9c24-4909cb339b83
17006149.36,-3167389.371,103,LPR_072,Open,Flooded,Mount Nebo Road,at intersection with Mount Glorious Road,MOUNT NEBO,2020/02/26 05:00:00+00,0,"Mount Nebo Road at intersection with Mount Glorious (PEI) Road, MOUNT NEBO",DWCP,f38d9809-b888-45cc-9162-a4207cf4d8d8
17025173.6,-3135966.289,104,CAB_011,Open,Flooded,Macadamia Street, ,CABOOLTURE SOUTH,2022/02/26 22:15:00+00,0,"Macadamia Street, CABOOLTURE SOUTH",DWCP,7ab4ab35-2b07-4621-9e2a-1918df5709af
17028162.5,-3143828.956,105,BUR_007,Open,Flooded,Henderson Road,at Rossini Street,BURPENGARY,2020/02/26 05:00:00+00,0,Henderson Road,DWCP,931d4045-3f40-4eca-b8bb-3901f859390a
17024539.81,-3143514.765,106,BUR_010,Open,Flooded,Rowley Road,at Facer Road,BURPENGARY,2020/02/26 05:00:00+00,0,"Rowley Road at Facer Road, BURPENGARY",DWCP,3d520976-a253-4a01-8309-50d624d2392d
17036587.34,-3134870.136,107,CAB_067,Open,Flooded,Browns Road, ,NINGI,2022/03/01 01:15:00+00,0,"Browns Road, NINGI",DWCP,8cad9fd0-b80b-4460-a74c-8d950e472fb0
17028576.96,-3128554.106,108,CAB_072,Open,Flooded,Morris Road,at Bigmor Drive,ELIMBAH,2020/02/26 05:00:00+00,0,"Morris Road at Bigmor Drive, ELIMBAH",DWCP,fc555f8f-1b1d-420b-9645-7bc46f20a5a4
17020508.44,-3146447.981,109,SID_015,Open,Flooded,Raynbird Road,near Alf Dobson Road,NARANGBA,2020/02/26 05:00:00+00,0,"Raynbird Road near Alf Dobson Road, NARANGBA",DWCP,129085dd-7f2f-4bbc-bc49-e4d1269fd608
17023670.75,-3122296.961,110,PUM_014,Open,Flooded,McDougall Road, ,ELIMBAH,2022/03/03 23:15:00+00,0,"McDougall Road, ELIMBAH",DWCP,0115e27a-6cee-4d58-815f-f061670b4915
17003618.23,-3117364.595,111,STA_016,Open,Flooded,Neurum Road,near Walker Lane,WOODFORD,2022/05/12 07:00:00+00,0,"Neurum Road near Walker Lane, WOODFORD",DWCP,47935c69-169d-49ce-ab31-f821831721cf
17014384.49,-3137510.228,112,CAB_044,Open,Flooded,Caboolture River Road,at Cockies Crossing,ROCKSBERG,2022/10/23 06:25:00+00,0,Caboolture River Road,DWCP,3d85c437-b92f-4a98-a266-6b9126c1de07
17040404.57,-3135679.979,113,CAB_070,Open,Flooded,Payne Drive, ,BEACHMERE,2022/03/03 03:50:00+00,0,"Payne Drive, BEACHMERE",DWCP,92e83fe7-c9c1-4efc-b734-db5b43a8b0ad
17025915.05,-3139332.397,114,CAB_045,Open,Flooded,Clark Road,at Hauton Road,MORAYFIELD,2022/05/13 03:30:00+00,0,"Clark Road at Hauton Road, MORAYFIELD",DWCP,1d60d6b7-d22b-47c9-b36e-ca389c588690
17028635.83,-3147200.359,115,HAY_002,Open,Flooded,Callaghan Road,at Saltwater Creek,NARANGBA,2022/02/28 06:45:00+00,0,Callaghan Road,DWCP,3dde8b0b-d50c-4a82-9678-9c0cd0c2e12c
17027332.12,-3141837.219,116,BUR_030,Open,Flooded,O'Brien Road,at Lindsay Road,BURPENGARY,2022/02/27 15:45:00+00,0,O'Brien Road,DWCP,6cb4c282-7102-4520-87ea-6a90af812e78
17025086.45,-3151586.219,117,SID_013,Open,Flooded,Denham Road, ,KURWONGBAH,2020/02/26 05:00:00+00,0,Denham Road,DWCP,1ddb72f7-6ee2-4e51-b6f9-863bda3b895c
17025676.58,-3152715.009,118,SID_014,Open,Flooded,Margaret Road, ,KURWONGBAH,2020/02/26 05:00:00+00,0,"Margaret Road, KURWONGBAH",DWCP,d2653c0e-04d9-4c36-bca8-7dc0fdddb19b
